barcode	ips_ctla4_neg_pd1_neg	ips_ctla4_neg_pd1_pos	ips_ctla4_pos_pd1_neg	ips_ctla4_pos_pd1_pos
TCGA-AA-A00K	9	7	9	7
TCGA-AA-A00F	9	7	8	7
TCGA-AA-A00E	9	8	9	8
TCGA-AA-A00D	9	9	9	9
TCGA-AA-A00A	9	8	9	8
TCGA-AA-3994	9	8	9	8
TCGA-AA-3989	9	8	8	7
TCGA-AA-3986	9	8	9	8
TCGA-AA-3982	9	8	9	7
TCGA-AA-3980	9	8	9	8
TCGA-AA-3979	9	8	9	7
TCGA-AA-3976	9	7	8	7
TCGA-AA-3975	9	7	9	7
TCGA-AA-3973	9	8	9	7
TCGA-AA-3972	9	7	8	7
TCGA-AA-3970	9	8	9	8
TCGA-AA-3968	9	8	8	7
TCGA-AA-3956	9	8	9	7
TCGA-AA-3955	9	7	8	7
TCGA-AA-3952	9	7	8	6
TCGA-AA-3941	9	7	9	7
TCGA-AA-3939	9	7	9	7
TCGA-AA-3930	9	8	9	7
TCGA-AA-3877	9	8	9	8
TCGA-AA-3875	9	7	8	7
TCGA-AA-3872	9	7	8	7
TCGA-AA-3870	9	8	8	8
TCGA-AA-3869	9	8	9	8
TCGA-AA-3866	9	8	8	8
TCGA-AA-3860	9	8	9	8
TCGA-AA-3858	9	8	9	7
TCGA-AA-3854	9	7	8	7
TCGA-AA-3852	9	8	9	7
TCGA-AA-3850	9	8	9	8
TCGA-AA-3845	9	9	8	9
TCGA-AA-3842	9	8	9	7
TCGA-AA-3841	9	8	9	8
TCGA-AA-3821	9	8	9	8
TCGA-AA-3819	9	7	8	6
TCGA-AA-3818	9	7	8	7
TCGA-AA-3814	9	7	8	7
TCGA-AA-3812	9	8	9	7
TCGA-AA-3811	9	8	9	8
TCGA-AA-3715	9	9	9	9
TCGA-AA-3712	9	8	9	7
TCGA-AA-3710	9	9	8	8
TCGA-AA-3697	9	8	9	8
TCGA-AA-3693	9	7	8	6
TCGA-AA-3685	9	8	9	8
TCGA-AA-3681	9	8	8	7
TCGA-AA-3680	9	7	9	7
TCGA-AA-3675	9	7	8	7
TCGA-AA-3673	9	7	8	7
TCGA-AA-3667	9	8	9	7
TCGA-AA-3666	9	8	9	8
TCGA-AA-3662	9	8	8	7
TCGA-AA-3660	9	7	9	7
TCGA-AA-3655	9	7	8	7
TCGA-AA-3562	9	7	9	7
TCGA-AA-3561	9	7	9	7
TCGA-AA-3560	9	8	9	7
TCGA-AA-3556	9	8	9	8
TCGA-AA-3553	9	8	9	8
TCGA-AA-3549	9	8	8	7
TCGA-AA-3548	9	8	9	7
TCGA-AA-3544	9	8	9	8
TCGA-AA-3532	9	9	9	9
TCGA-AA-3526	9	8	9	8
TCGA-AA-3524	9	8	9	8
TCGA-AA-3520	9	8	9	7
TCGA-AA-3517	9	7	9	7
TCGA-AA-3514	9	7	9	7
TCGA-AA-3511	9	7	9	7
TCGA-AA-3510	9	8	9	8
TCGA-AA-3506	9	7	8	7
TCGA-AA-3495	9	7	8	7
TCGA-A6-A5ZU	9	8	8	7
TCGA-A6-A567	9	7	8	7
TCGA-A6-A565	9	8	9	8
TCGA-A6-6782	9	7	8	7
TCGA-A6-6652	9	7	9	7
TCGA-A6-6650	9	7	9	7
TCGA-A6-6649	9	7	8	7
TCGA-A6-6648	9	8	9	7
TCGA-A6-6141	9	8	8	7
TCGA-A6-6140	9	8	9	7
TCGA-A6-6138	9	9	9	9
TCGA-A6-6137	9	8	9	8
TCGA-A6-5666	9	7	8	6
TCGA-A6-5662	9	8	8	7
TCGA-A6-5659	9	7	8	6
TCGA-A6-5657	9	8	9	8
TCGA-A6-3810	9	8	9	7
TCGA-A6-3808	9	8	9	8
TCGA-A6-2681	9	7	8	7
TCGA-A6-2677	9	7	8	6
TCGA-A6-2676	9	9	9	9
TCGA-5M-AATE	9	7	9	7
TCGA-5M-AATA	9	7	8	7
TCGA-5M-AAT5	9	7	9	7
TCGA-4T-AA8H	9	7	9	7
TCGA-T9-A92H	10	9	10	8
TCGA-RU-A8FL	10	8	9	7
TCGA-QL-A97D	10	9	10	9
TCGA-QG-A5Z2	10	9	10	9
TCGA-QG-A5YX	10	8	10	8
TCGA-NH-A6GC	10	8	9	7
TCGA-NH-A6GB	10	8	9	8
TCGA-G4-6626	10	8	9	8
TCGA-G4-6323	10	8	9	8
TCGA-G4-6322	10	8	9	8
TCGA-G4-6321	10	9	10	9
TCGA-G4-6320	10	8	9	7
TCGA-G4-6306	10	9	10	9
TCGA-G4-6294	10	8	9	7
TCGA-F4-6856	10	8	9	8
TCGA-F4-6806	10	9	10	8
TCGA-DM-A28M	10	8	9	7
TCGA-DM-A28K	10	8	10	8
TCGA-DM-A28F	10	8	9	7
TCGA-DM-A28E	10	8	9	7
TCGA-DM-A1HA	10	9	10	8
TCGA-DM-A1DA	10	8	9	7
TCGA-DM-A1D8	10	9	10	8
TCGA-DM-A1D6	10	8	9	7
TCGA-DM-A1D4	10	8	9	7
TCGA-DM-A0XD	10	8	9	7
TCGA-DM-A0X9	10	8	9	8
TCGA-D5-6930	10	9	10	9
TCGA-D5-6929	10	8	9	8
TCGA-D5-6535	10	9	10	9
TCGA-D5-6532	10	8	9	7
TCGA-D5-5537	10	8	9	7
TCGA-CM-6675	10	8	9	7
TCGA-CM-5861	10	9	10	8
TCGA-CM-4752	10	9	10	9
TCGA-CM-4751	10	9	9	9
TCGA-CM-4750	10	9	10	8
TCGA-CM-4748	10	8	9	7
TCGA-CM-4744	10	10	10	9
TCGA-CM-4743	10	10	10	10
TCGA-CK-6751	10	8	9	8
TCGA-CK-6747	10	8	9	8
TCGA-CK-5914	10	9	10	8
TCGA-CK-5912	10	8	9	7
TCGA-CA-5796	10	8	9	8
TCGA-CA-5255	10	8	9	8
TCGA-AZ-6606	10	8	9	8
TCGA-AZ-6599	10	8	9	7
TCGA-AZ-4682	10	8	9	7
TCGA-AZ-4681	10	8	9	7
TCGA-AZ-4616	10	9	9	9
TCGA-AZ-4313	10	9	10	8
TCGA-AZ-4308	10	8	9	8
TCGA-AY-6197	10	8	9	8
TCGA-AY-5543	10	8	9	8
TCGA-AY-4071	10	9	10	9
TCGA-AD-6963	10	9	10	9
TCGA-AD-6895	10	9	9	9
TCGA-AA-A03J	10	9	10	9
TCGA-AA-A03F	10	8	10	8
TCGA-AA-A02Y	10	9	9	8
TCGA-AA-A02E	10	8	9	8
TCGA-AA-A029	10	8	9	8
TCGA-AA-A022	10	10	10	10
TCGA-AA-A01Z	10	8	9	7
TCGA-AA-A01T	10	9	10	9
TCGA-AA-A01S	10	8	9	7
TCGA-AA-A01R	10	10	10	10
TCGA-AA-A01I	10	8	10	8
TCGA-AA-A01G	10	8	9	7
TCGA-AA-A00W	10	8	9	7
TCGA-AA-A00L	10	8	10	8
TCGA-AA-A004	10	9	10	9
TCGA-AA-3971	10	8	9	8
TCGA-AA-3862	10	9	10	9
TCGA-AA-3861	10	8	9	8
TCGA-AA-3856	10	9	9	8
TCGA-AA-3855	10	8	9	8
TCGA-AA-3851	10	8	9	8
TCGA-AA-3848	10	8	9	8
TCGA-AA-3846	10	9	10	9
TCGA-AA-3844	10	8	9	8
TCGA-AA-3837	10	8	9	7
TCGA-AA-3688	10	8	9	8
TCGA-AA-3684	10	9	9	8
TCGA-AA-3679	10	8	9	7
TCGA-AA-3672	10	10	10	10
TCGA-AA-3552	10	9	10	8
